khoa_ngay,ngay_day_du,nam,quy,thang,tuan,ngay,ten_thang,ten_thu,la_cuoi_tuan
20220101,2022-01-01,2022,1,1,52,1,January,Saturday,1
20220102,2022-01-02,2022,1,1,52,2,January,Sunday,1
20220103,2022-01-03,2022,1,1,1,3,January,Monday,0
20220104,2022-01-04,2022,1,1,1,4,January,Tuesday,0
20220105,2022-01-05,2022,1,1,1,5,January,Wednesday,0
20220106,2022-01-06,2022,1,1,1,6,January,Thursday,0
20220107,2022-01-07,2022,1,1,1,7,January,Friday,0
20220108,2022-01-08,2022,1,1,1,8,January,Saturday,1
20220109,2022-01-09,2022,1,1,1,9,January,Sunday,1
20220110,2022-01-10,2022,1,1,2,10,January,Monday,0
20220111,2022-01-11,2022,1,1,2,11,January,Tuesday,0
20220112,2022-01-12,2022,1,1,2,12,January,Wednesday,0
20220113,2022-01-13,2022,1,1,2,13,January,Thursday,0
20220114,2022-01-14,2022,1,1,2,14,January,Friday,0
20220115,2022-01-15,2022,1,1,2,15,January,Saturday,1
20220116,2022-01-16,2022,1,1,2,16,January,Sunday,1
20220117,2022-01-17,2022,1,1,3,17,January,Monday,0
20220118,2022-01-18,2022,1,1,3,18,January,Tuesday,0
20220119,2022-01-19,2022,1,1,3,19,January,Wednesday,0
20220120,2022-01-20,2022,1,1,3,20,January,Thursday,0
20220121,2022-01-21,2022,1,1,3,21,January,Friday,0
20220122,2022-01-22,2022,1,1,3,22,January,Saturday,1
20220123,2022-01-23,2022,1,1,3,23,January,Sunday,1
20220124,2022-01-24,2022,1,1,4,24,January,Monday,0
20220125,2022-01-25,2022,1,1,4,25,January,Tuesday,0
20220126,2022-01-26,2022,1,1,4,26,January,Wednesday,0
20220127,2022-01-27,2022,1,1,4,27,January,Thursday,0
20220128,2022-01-28,2022,1,1,4,28,January,Friday,0
20220129,2022-01-29,2022,1,1,4,29,January,Saturday,1
20220130,2022-01-30,2022,1,1,4,30,January,Sunday,1
20220131,2022-01-31,2022,1,1,5,31,January,Monday,0
20220201,2022-02-01,2022,1,2,5,1,February,Tuesday,0
20220202,2022-02-02,2022,1,2,5,2,February,Wednesday,0
20220203,2022-02-03,2022,1,2,5,3,February,Thursday,0
20220204,2022-02-04,2022,1,2,5,4,February,Friday,0
20220205,2022-02-05,2022,1,2,5,5,February,Saturday,1
20220206,2022-02-06,2022,1,2,5,6,February,Sunday,1
20220207,2022-02-07,2022,1,2,6,7,February,Monday,0
20220208,2022-02-08,2022,1,2,6,8,February,Tuesday,0
20220209,2022-02-09,2022,1,2,6,9,February,Wednesday,0
