ma_dia_ly,thanh_pho,vung_mien
1,An Giang,Miền Tây
2,Buôn Ma Thuột,Tây Nguyên
3,Bình Dương,Miền Nam
4,Bến Tre,Miền Tây
5,Cần Thơ,Miền Tây
6,Huế,Miền Trung
7,Hà Nội,Miền Bắc
8,Hải Phòng,Miền Bắc
9,Kiên Giang,Miền Tây
10,Long An,Miền Nam
11,Nam Định,Miền Bắc
12,Nha Trang,Miền Trung
13,Pleiku,Tây Nguyên
14,Quy Nhơn,Miền Trung
15,Quảng Ninh,Miền Bắc
16,TP.HCM,Miền Nam
17,Thái Nguyên,Miền Bắc
18,Tiền Giang,Miền Tây
19,Vinh,Miền Trung
20,Vũng Tàu,Miền Nam
21,Đà Lạt,Tây Nguyên
22,Đà Nẵng,Miền Trung
23,Đồng Nai,Miền Nam
