ma_san_pham,ma_cua_hang,ten_san_pham,gia_niem_yet,diem_danh_gia,so_luot_danh_gia,so_luot_thich,ma_thuong_hieu,ma_danh_muc
SYSN10000000,SH2719583,Estee Lauder Nhẹ nhàng Foam Cleanser,1495000,4.8,13,19,9,1
SYSN10000001,SH1445199,CeraVe Sáng da Balm Cleanser,310000,4.6,625,838,4,1
SYSN10000002,SH3678638,Innisfree Hiệu quả Essence Toner,218000,4.8,73,112,13,5
SYSN10000003,SH7022674,Hasaki Trắng sáng Niacinamide Serum,196000,4.7,6,10,12,3
SYSN10000004,SH5918715,Simple Trắng sáng Brightening Toner,85000,4.8,20,34,28,5
SYSN10000005,SH5855124,Cosrx Hiệu quả Gel Moisturizer,313000,4.9,89,176,8,2
SYSN10000006,SH6960453,Rovectin Tăng cường Retinol Serum,563000,4.7,3,2,24,3
SYSN10000007,SH8755439,Garnier Chống lão hóa Gel Moisturizer,103000,5.0,93,99,10,2
SYSN10000008,SH6292423,Senka Hiệu quả Gel Cleanser,64000,4.8,35,38,26,1
SYSN10000009,SH8698256,Cetaphil Cấp nước Night Cream Moisturizer,290000,4.4,14,10,5,2
SYSN10000010,SH7073292,Klairs Cấp nước Pore Care Toner,291000,4.3,3,2,15,5
SYSN10000011,SH8082668,Simple Hiệu quả SPF 30 Sunscreen,79000,4.6,13,18,28,4
SYSN10000012,SH2921859,Neutrogena Chuyên sâu Gel Cleanser,269000,4.8,0,0,20,1
SYSN10000013,SH1054447,Simple Làm mềm Retinol Serum,100000,4.2,29,55,28,3
SYSN10000014,SH9517169,Cosrx Cao cấp Micellar Cleanser,316000,4.5,5,7,8,1
SYSN10000015,SH9197443,The Face Shop Tăng cường Pore Care Toner,318000,4.2,4125,2183,32,5
SYSN10000016,SH2437026,L'Oreal Trắng sáng Eye Cream Moisturizer,122000,4.8,31,49,16,2
SYSN10000017,SH5446912,Garnier Chống lão hóa Pore Care Toner,125000,4.8,125,161,10,5
SYSN10000018,SH6229731,Kiehl's VN Nhẹ nhàng Gel Moisturizer,2033000,4.4,58,63,14,2
SYSN10000019,SH6672134,Beauty of Joseon VN Trắng sáng SPF 30 Sunscreen,257000,4.5,43,22,2,4
SYSN10000020,SH6543670,La Roche-Posay Cao cấp Gel Cleanser,213000,4.7,6,3,17,1
SYSN10000021,SH8930103,Anessa Sáng da Balm Cleanser,228000,4.3,22,19,1,1
SYSN10000022,SH1908841,Sulwhasoo Làm mềm Tint Sunscreen,2378000,4.7,197,297,31,4
SYSN10000023,SH8526486,Simple Kiểm soát nhờn Retinol Serum,123000,4.5,27,19,28,3
SYSN10000024,SH1848731,Cocoon Trắng sáng Water Resistant Sunscreen,96000,4.3,276,407,7,4
SYSN10000025,SH4586084,Paula's Choice Làm mềm Niacinamide Serum,607000,4.5,76,136,22,3
SYSN10000026,SH8096887,Hasaki Làm dịu Tint Sunscreen,111000,4.4,18,27,12,4
SYSN10000027,SH2022698,Neutrogena Sáng da Essence Toner,232000,4.8,8,12,20,5
SYSN10000028,SH4117625,The Face Shop Trắng sáng Balm Cleanser,234000,4.5,38,22,32,1
SYSN10000029,SH2375453,Klairs Dưỡng ẩm Eye Cream Moisturizer,190000,4.7,7,7,15,2
SYSN10000030,SH5456272,Murad VN Phục hồi Micellar Cleanser,1573000,4.3,19,20,19,1
SYSN10000031,SH2677407,Cosrx Sáng da Water Resistant Sunscreen,402000,4.8,13,7,8,4
SYSN10000032,SH3646552,Cocoon Làm dịu Hyaluronic Acid Serum,211000,4.4,122,141,7,3
SYSN10000033,SH6022741,Kiehl's VN Chuyên sâu SPF 50+ Sunscreen,2796000,4.8,4,7,14,4
SYSN10000034,SH5727085,Cosrx Làm dịu Gel Moisturizer,333000,4.7,11,15,8,2
SYSN10000035,SH1852264,Pond's Thiên nhiên Hyaluronic Acid Serum,181000,4.7,23,14,23,3
SYSN10000036,SH8412769,The Ordinary Chống lão hóa Hyaluronic Acid Serum,238000,4.4,24,31,33,3
SYSN10000037,SH3484601,The Ordinary Sáng da Hyaluronic Acid Serum,347000,4.9,354,405,33,3
SYSN10000038,SH5186414,Kiehl's VN Phục hồi PA++++ Sunscreen,1763000,4.2,459,688,14,4
SYSN10000039,SH3726327,Ohui VN Cao cấp Foam Cleanser,1348000,4.6,8,15,21,1
SYSN10000040,SH5163555,Cetaphil Hiệu quả Tint Sunscreen,348000,4.4,22,19,5,4
SYSN10000041,SH6120253,Laneige Tăng cường Tint Sunscreen,1115000,4.8,44,76,18,4
SYSN10000042,SH5682940,Cetaphil Hiệu quả Vitamin C Serum,380000,4.6,29,29,5,3
SYSN10000043,SH5382463,Vaseline Thiên nhiên Gel Cleanser,84000,4.5,79,60,34,1
SYSN10000044,SH7462506,Cetaphil Trắng sáng Peptide Serum,391000,5.0,60,110,5,3
SYSN10000045,SH4305700,The Face Shop Chuyên sâu Peptide Serum,285000,4.9,277,289,32,3
SYSN10000046,SH6038571,Cetaphil Nhẹ nhàng Gel Cleanser,334000,4.7,111,139,5,1
SYSN10000047,SH3919694,Garnier Cấp nước Daily Sunscreen,162000,4.3,6,8,10,4
SYSN10000048,SH6406444,Estee Lauder Sáng da Balm Cleanser,1470000,4.5,12,14,9,1
SYSN10000049,SH6623525,Anessa Kiểm soát nhờn Hyaluronic Acid Serum,519000,4.8,230,147,1,3
SYSN10000050,SH2221854,Garnier Làm mềm SPF 30 Sunscreen,176000,4.7,22,26,10,4
SYSN10000051,SH1093026,St. Ives Chuyên sâu Retinol Serum,163000,4.1,38,69,30,3
SYSN10000052,SH3036059,The Face Shop Phục hồi Water Resistant Sunscreen,349000,4.4,162,191,32,4
SYSN10000053,SH9468772,Cetaphil Sáng da Oil Cleanser,295000,4.6,15,17,5,1
SYSN10000054,SH5652512,St. Ives Cao cấp Gel Moisturizer,162000,4.5,52,85,30,2
SYSN10000055,SH6634586,Cosrx Làm dịu Foam Cleanser,304000,4.6,110,107,8,1
SYSN10000056,SH7838382,Anessa Cấp nước Vitamin C Serum,487000,4.6,22,21,1,3
SYSN10000057,SH1327691,Clean & Clear Nhẹ nhàng Peptide Serum,96000,5.0,15,26,6,3
SYSN10000058,SH4700025,Hasaki Kiểm soát nhờn Tint Sunscreen,212000,4.2,1753,2160,12,4
SYSN10000059,SH3768991,Rovectin Nhẹ nhàng Tint Sunscreen,242000,4.4,35,61,24,4
SYSN10000060,SH8190929,Ohui VN Trắng sáng Gel Cleanser,1556000,4.3,49,34,21,1
SYSN10000061,SH7360682,Bioderma Hiệu quả Hyaluronic Acid Serum,325000,4.4,107,98,3,3
SYSN10000062,SH2151225,The Face Shop Phục hồi Hydrating Toner,383000,5.0,67,112,32,5
SYSN10000063,SH5002120,Murad VN Chống lão hóa Pore Care Toner,1258000,5.0,2,1,19,5
SYSN10000064,SH2921542,Neutrogena Sáng da Foam Cleanser,327000,5.0,25,41,20,1
SYSN10000065,SH4327421,Neutrogena Cấp nước Tint Sunscreen,275000,4.7,85,52,20,4
SYSN10000066,SH3030966,Estee Lauder Hiệu quả Balm Cleanser,1047000,4.5,5,8,9,1
SYSN10000067,SH6724909,Rovectin Chuyên sâu Peptide Serum,562000,4.7,17,8,24,3
SYSN10000068,SH3566765,Cetaphil Nhẹ nhàng Tint Sunscreen,223000,4.6,526,606,5,4
SYSN10000069,SH5502929,St. Ives Sáng da Low pH Cleanser,119000,4.6,5,4,30,1
SYSN10000070,SH7358385,Innisfree Sáng da Night Cream Moisturizer,256000,4.4,17,17,13,2
SYSN10000071,SH5635017,Cetaphil Làm dịu PA++++ Sunscreen,423000,4.9,2,2,5,4
SYSN10000072,SH8987516,Hada Labo Nhẹ nhàng Retinol Serum,250000,4.8,74,108,11,3
SYSN10000073,SH7191135,Paula's Choice Làm dịu Exfoliating Toner,307000,4.7,160,193,22,5
SYSN10000074,SH6144280,Vaseline Làm dịu Tint Sunscreen,99000,4.5,7,6,34,4
SYSN10000075,SH5638893,The Ordinary Làm mềm AHA/BHA Serum,276000,4.5,40,63,33,3
SYSN10000076,SH6071208,Paula's Choice Chống lão hóa PA++++ Sunscreen,398000,4.2,21,10,22,4
SYSN10000077,SH9235577,Ohui VN Chuyên sâu Retinol Serum,2673000,4.8,85,55,21,3
SYSN10000078,SH9014965,Cetaphil Làm dịu SPF 50+ Sunscreen,362000,4.5,82,55,5,4
SYSN10000079,SH6097514,Rovectin Hiệu quả SPF 30 Sunscreen,367000,4.9,32,20,24,4
SYSN10000080,SH9767312,Klairs Hiệu quả Foam Cleanser,315000,4.8,85,90,15,1
SYSN10000081,SH2664863,Hasaki Sáng da Cream Moisturizer,250000,4.8,67,128,12,2
SYSN10000082,SH3626181,Garnier Trắng sáng Peptide Serum,176000,4.6,76,38,10,3
SYSN10000083,SH8617381,Bioderma Nhẹ nhàng Micellar Cleanser,199000,4.8,132,80,3,1
SYSN10000084,SH3499627,L'Oreal Phục hồi Peptide Serum,117000,4.5,83,154,16,3
SYSN10000085,SH6101803,Pond's Nhẹ nhàng Niacinamide Serum,87000,4.3,42,65,23,3
SYSN10000086,SH6407658,Klairs Nhẹ nhàng Oil Cleanser,222000,4.7,13,18,15,1
SYSN10000087,SH5521644,Senka Cao cấp AHA/BHA Serum,184000,4.7,234,319,26,3
SYSN10000088,SH9249789,Neutrogena Cấp nước Balm Cleanser,444000,4.1,37,72,20,1
SYSN10000089,SH9312590,Cosrx Cấp nước PA++++ Sunscreen,197000,5.0,208,193,8,4
SYSN10000090,SH7780932,CeraVe Trắng sáng Hydrating Toner,398000,4.8,5,8,4,5
SYSN10000091,SH9363326,Some By Mi Sáng da Lotion Moisturizer,267000,4.7,25,35,29,2
SYSN10000092,SH3037191,Estee Lauder Làm mềm AHA/BHA Serum,1217000,4.7,615,334,9,3
SYSN10000093,SH2563790,Pond's Cấp nước Pore Care Toner,110000,5.0,103,86,23,5
SYSN10000094,SH9537455,Garnier Làm dịu Barrier Repair Moisturizer,95000,4.8,36,56,10,2
SYSN10000095,SH9526867,Innisfree Phục hồi Tint Sunscreen,423000,4.8,15,24,13,4
SYSN10000096,SH1043037,Clean & Clear Làm dịu Peptide Serum,131000,4.1,84,77,6,3
SYSN10000097,SH9125900,Beauty of Joseon VN Kiểm soát nhờn Oil Cleanser,133000,4.9,103,104,2,1
SYSN10000098,SH7425184,Cetaphil Phục hồi Low pH Cleanser,192000,4.4,3,2,5,1
SYSN10000099,SH3551903,Hada Labo Hiệu quả Daily Sunscreen,561000,4.2,21,26,11,4
SYSN10000100,SH9823994,Cosrx Trắng sáng Oil Cleanser,306000,4.6,0,0,8,1
SYSN10000101,SH7668663,Murad VN Tăng cường Hyaluronic Acid Serum,3079000,4.4,31,45,19,3
SYSN10000102,SH1602286,Cetaphil Cao cấp Oil Cleanser,198000,4.5,257,366,5,1
SYSN10000103,SH2686231,Bioderma Trắng sáng Oil Cleanser,326000,4.8,62,72,3,1
SYSN10000104,SH3442255,La Roche-Posay Cấp nước Lotion Moisturizer,225000,4.0,3,2,17,2
SYSN10000105,SH5040453,Anessa Sáng da Oil Cleanser,309000,4.6,276,344,1,1
SYSN10000106,SH8805654,St. Ives Thiên nhiên Vitamin C Serum,203000,4.4,21,38,30,3
SYSN10000107,SH8118722,Cetaphil Chuyên sâu Hyaluronic Acid Serum,487000,4.6,82,125,5,3
SYSN10000108,SH7022335,Kiehl's VN Cấp nước SPF 30 Sunscreen,1358000,4.4,122,166,14,4
SYSN10000109,SH1822825,Clean & Clear Cao cấp Peptide Serum,249000,4.3,4,7,6,3
