ma_cua_hang,dia_diem_cua_hang
SH1001094,Đà Lạt
SH1002647,Buôn Ma Thuột
SH1003092,Tiền Giang
SH1004139,TP.HCM
SH1004542,An Giang
SH1008181,Quảng Ninh
SH1008908,Long An
SH1010284,Cần Thơ
SH1010601,Tiền Giang
SH1011337,Cần Thơ
SH1012148,Vinh
SH1013016,Quảng Ninh
SH1013388,An Giang
SH1014095,TP.HCM
SH1014148,Bình Dương
SH1014942,Đà Lạt
SH1016421,Nha Trang
SH1016885,Vinh
SH1018399,Hải Phòng
SH1020136,Tiền Giang
SH1020311,Nam Định
SH1020737,Huế
SH1021974,Đà Lạt
SH1022009,An Giang
SH1025762,Buôn Ma Thuột
SH1025783,Buôn Ma Thuột
SH1026245,Vinh
SH1026523,Vũng Tàu
SH1027590,Quảng Ninh
SH1028039,Pleiku
SH1028160,Cần Thơ
SH1028177,Đà Lạt
SH1029006,Buôn Ma Thuột
SH1030749,Buôn Ma Thuột
SH1030805,Bến Tre
SH1031800,Đồng Nai
SH1032500,Hà Nội
SH1032860,Đà Lạt
SH1034042,Cần Thơ
SH1034351,Hà Nội
SH1036671,Cần Thơ
SH1037905,Tiền Giang
SH1039569,Tiền Giang
SH1039944,Đồng Nai
SH1042072,Nha Trang
SH1043037,Nha Trang
SH1044461,Quảng Ninh
SH1048421,Thái Nguyên
SH1049281,Đà Nẵng
SH1050043,Quảng Ninh
SH1050591,Cần Thơ
SH1051543,Long An
SH1052235,Kiên Giang
SH1053156,Nha Trang
SH1053648,Đà Lạt
SH1054096,Pleiku
SH1054447,Quy Nhơn
SH1055463,Long An
SH1055772,Đồng Nai
SH1056501,Vũng Tàu
SH1058272,Nha Trang
SH1059272,Quy Nhơn
SH1060293,Đà Nẵng
SH1060841,Đà Lạt
SH1065512,Thái Nguyên
SH1065574,Long An
SH1065629,Cần Thơ
SH1067378,Quy Nhơn
SH1073322,Huế
SH1073332,Bình Dương
SH1074018,Hà Nội
SH1074659,Huế
SH1074924,TP.HCM
SH1075409,Nam Định
SH1076788,TP.HCM
SH1078329,Bình Dương
SH1079984,Quy Nhơn
SH1081021,Buôn Ma Thuột
SH1081716,Đà Nẵng
SH1083492,Cần Thơ
SH1083863,Kiên Giang
SH1084021,TP.HCM
SH1084130,Quy Nhơn
SH1088005,Thái Nguyên
SH1089689,Đà Nẵng
SH1090089,Hà Nội
SH1091715,Tiền Giang
SH1093026,Nam Định
SH1093582,Đồng Nai
SH1093623,Đồng Nai
SH1094583,TP.HCM
SH1095980,Đồng Nai
SH1097563,Thái Nguyên
SH1098052,Cần Thơ
SH1098476,Hà Nội
SH1100103,Vũng Tàu
SH1100213,Buôn Ma Thuột
SH1102843,Pleiku
SH1105716,Long An
SH1106999,Vinh
SH1107396,Hà Nội
SH1108602,Hà Nội
SH1108843,Vinh
SH1109326,An Giang
SH1109669,Cần Thơ
SH1110229,Pleiku
SH1110452,Vũng Tàu
SH1110521,Đà Lạt
SH1111224,Long An
SH1113458,Hải Phòng
SH1114282,Nam Định
SH1114816,Kiên Giang
SH1115245,Quảng Ninh
SH1115555,Hà Nội
SH1116384,Huế
SH1116389,Vinh
SH1119354,Nam Định
SH1120806,Huế
SH1121097,Huế
SH1121334,Nam Định
SH1122261,Vũng Tàu
SH1122310,Bến Tre
SH1122324,Pleiku
SH1122968,Buôn Ma Thuột
SH1124054,Đà Nẵng
SH1124292,Long An
