ma_snapshot,ma_san_pham,gia_tai_ngay,ton_kho_tai_ngay,ban_luy_ke,ban_trong_ngay_uoc_tinh,khoa_ngay
SNAPSYSN1000221520251002,SYSN10002215,166700,52,681,1,20251002
SNAPSYSN1000221520251003,SYSN10002215,168000,52,682,1,20251003
SNAPSYSN1000221520251004,SYSN10002215,162000,51,684,2,20251004
SNAPSYSN1000221520251005,SYSN10002215,167500,53,684,0,20251005
SNAPSYSN1000221520251006,SYSN10002215,161900,52,685,1,20251006
SNAPSYSN1000221520251007,SYSN10002215,163200,53,685,0,20251007
SNAPSYSN1000221520251008,SYSN10002215,166300,53,685,0,20251008
SNAPSYSN1000221520251009,SYSN10002215,140200,51,687,2,20251009
SNAPSYSN1000221520251010,SYSN10002215,140200,49,691,4,20251010
SNAPSYSN1000221520251011,SYSN10002215,158500,53,691,0,20251011
SNAPSYSN1000221520251012,SYSN10002215,167900,52,692,1,20251012
SNAPSYSN1000221520251013,SYSN10002215,161000,53,692,0,20251013
SNAPSYSN1000221520251014,SYSN10002215,158900,53,692,0,20251014
SNAPSYSN1000221520251015,SYSN10002215,162200,53,692,0,20251015
SNAPSYSN1000221520251016,SYSN10002215,164500,53,692,0,20251016
SNAPSYSN1000221520251017,SYSN10002215,166400,53,692,0,20251017
SNAPSYSN1000221520251018,SYSN10002215,166400,52,693,1,20251018
SNAPSYSN1000221520251019,SYSN10002215,160100,52,694,1,20251019
SNAPSYSN1000221520251020,SYSN10002215,159100,52,695,1,20251020
SNAPSYSN1000221520251021,SYSN10002215,165800,53,695,0,20251021
SNAPSYSN1000221520251022,SYSN10002215,165800,52,696,1,20251022
SNAPSYSN1000221520251023,SYSN10002215,163300,53,696,0,20251023
SNAPSYSN1000221520251024,SYSN10002215,158100,53,696,0,20251024
SNAPSYSN1000221520251025,SYSN10002215,163300,52,697,1,20251025
SNAPSYSN1000221520251026,SYSN10002215,163100,52,698,1,20251026
SNAPSYSN1000221520251027,SYSN10002215,160300,53,698,0,20251027
SNAPSYSN1000221520251028,SYSN10002215,161800,53,698,0,20251028
SNAPSYSN1000221520251029,SYSN10002215,161500,53,698,0,20251029
SNAPSYSN1000221520251030,SYSN10002215,157400,52,699,1,20251030
SNAPSYSN1000221520251031,SYSN10002215,160100,53,699,0,20251031
SNAPSYSN1000221520251101,SYSN10002215,165800,52,700,1,20251101
SNAPSYSN1000221520251102,SYSN10002215,166200,52,701,1,20251102
SNAPSYSN1000221520251103,SYSN10002215,157000,53,701,0,20251103
SNAPSYSN1000221520251104,SYSN10002215,165100,53,701,0,20251104
SNAPSYSN1000221520251105,SYSN10002215,158600,53,701,0,20251105
SNAPSYSN1000221520251106,SYSN10002215,164800,52,702,1,20251106
SNAPSYSN1000221520251107,SYSN10002215,161200,53,702,0,20251107
