ma_giao_dich,ma_khach_hang,ma_san_pham,ma_cua_hang,so_luong,don_gia,so_tien_giam_gia,phi_van_chuyen,khoa_ngay,ma_thanh_toan
TX0000001251212000,CUS0000001,SYSN10002288,SH2151716,1,150900,71300,30000,20251212,6
TX0000001251230002,CUS0000001,SYSN10005535,SH8014407,1,264500,0,20000,20251230,5
TX0000002250608000,CUS0000002,SYSN10006038,SH1396584,3,31400,9400,0,20250608,6
TX0000002250629001,CUS0000002,SYSN10003583,SH3784969,1,104200,10400,15000,20250629,6
TX0000003241207000,CUS0000003,SYSN10001774,SH2935210,1,507800,0,15000,20241207,6
TX0000003241212001,CUS0000003,SYSN10004891,SH1212947,1,241600,41500,0,20241212,2
TX0000003250215003,CUS0000003,SYSN10003894,SH5535463,1,172500,0,20000,20250215,6
TX0000003250909004,CUS0000003,SYSN10006753,SH4031259,1,117600,32900,30000,20250909,2
TX0000003250924005,CUS0000003,SYSN10005212,SH9409580,1,147300,7400,30000,20250924,4
TX0000004250911000,CUS0000004,SYSN10000441,SH5875114,1,253800,50800,20000,20250911,5
TX0000004251226002,CUS0000004,SYSN10000737,SH6051155,2,114700,0,0,20251226,2
TX0000005250520000,CUS0000005,SYSN10001112,SH8989636,1,218900,10900,0,20250520,4
TX0000005250619001,CUS0000005,SYSN10006552,SH8288489,1,161700,24300,0,20250619,2
TX0000005250630002,CUS0000005,SYSN10006331,SH7168602,4,146000,138700,0,20250630,1
TX0000005250630003,CUS0000005,SYSN10006700,SH7947528,3,181300,230600,0,20250630,2
TX0000005250731004,CUS0000005,SYSN10003841,SH8396003,1,161300,8100,15000,20250731,6
TX0000005250801005,CUS0000005,SYSN10006304,SH5296397,1,195300,0,20000,20250801,4
TX0000005250814006,CUS0000005,SYSN10000282,SH8534089,2,130000,26000,0,20250814,1
TX0000005250819007,CUS0000005,SYSN10000380,SH9767135,1,148900,0,0,20250819,2
TX0000005250926008,CUS0000005,SYSN10007790,SH7222040,1,247100,0,15000,20250926,2
TX0000005251102009,CUS0000005,SYSN10002044,SH3212752,1,97000,0,0,20251102,2
TX0000005251111010,CUS0000005,SYSN10000261,SH6946534,2,191100,131200,0,20251111,3
TX0000005251225011,CUS0000005,SYSN10003191,SH9152593,1,156500,71500,0,20251225,1
TX0000006230729000,CUS0000006,SYSN10007597,SH4552207,2,164900,49500,0,20230729,2
TX0000006231109001,CUS0000006,SYSN10005110,SH3668559,1,148200,29600,0,20231109,2
TX0000006231212002,CUS0000006,SYSN10007559,SH5697115,2,129400,88000,30000,20231212,2
TX0000006240529003,CUS0000006,SYSN10007356,SH4393114,2,130600,0,15000,20240529,6
TX0000006241219004,CUS0000006,SYSN10001711,SH6753964,1,193700,9700,20000,20241219,1
TX0000007250207000,CUS0000007,SYSN10000574,SH8419054,1,521900,26100,30000,20250207,5
TX0000007250630002,CUS0000007,SYSN10005574,SH7847437,3,291900,255300,15000,20250630,4
TX0000007250804003,CUS0000007,SYSN10000909,SH4575870,2,544900,326900,0,20250804,1
TX0000007251227004,CUS0000007,SYSN10007501,SH2747202,2,514700,0,20000,20251227,2
TX0000008251113000,CUS0000008,SYSN10005621,SH5033233,1,111500,16700,0,20251113,6
TX0000008251211001,CUS0000008,SYSN10001417,SH4338417,2,159800,61900,0,20251211,2
TX0000008251211002,CUS0000008,SYSN10005614,SH3779844,1,114700,45500,15000,20251211,2
TX0000009220607000,CUS0000009,SYSN10003822,SH5864248,1,329600,0,30000,20220607,6
TX0000009231220001,CUS0000009,SYSN10001843,SH7450389,1,152800,0,30000,20231220,2
TX0000009240201002,CUS0000009,SYSN10001882,SH2803930,2,169500,0,30000,20240201,6
TX0000009240206003,CUS0000009,SYSN10000240,SH8728009,1,111100,16700,20000,20240206,4
TX0000009241109004,CUS0000009,SYSN10004705,SH1165496,1,279700,0,20000,20241109,2
TX0000010220420000,CUS0000010,SYSN10004880,SH3949614,1,197000,0,0,20220420,4
TX0000011220728000,CUS0000011,SYSN10000097,SH9125900,1,87300,4400,20000,20220728,6
TX0000011240523001,CUS0000011,SYSN10002596,SH1738479,1,82300,4100,0,20240523,2
TX0000012231204000,CUS0000012,SYSN10006017,SH2280048,1,62500,9400,20000,20231204,5
TX0000013250304000,CUS0000013,SYSN10000895,SH5194038,3,501000,75200,0,20250304,1
TX0000013250310001,CUS0000013,SYSN10002455,SH2459729,2,671400,0,0,20250310,5
TX0000013250408002,CUS0000013,SYSN10001790,SH9868030,1,662500,0,30000,20250408,6
TX0000013250514003,CUS0000013,SYSN10001065,SH2396638,4,656900,262800,20000,20250514,4
TX0000013250630004,CUS0000013,SYSN10001851,SH9382875,5,441800,337600,20000,20250630,1
TX0000013250913005,CUS0000013,SYSN10007934,SH6672261,4,751100,0,20000,20250913,6
TX0000013250916006,CUS0000013,SYSN10004666,SH6009153,1,569700,0,0,20250916,1
TX0000013251212008,CUS0000013,SYSN10001751,SH4419865,4,603700,1027300,0,20251212,4
TX0000013251227009,CUS0000013,SYSN10007333,SH2674678,1,523900,0,30000,20251227,4
TX0000014230727000,CUS0000014,SYSN10002097,SH4965012,1,111800,11200,30000,20230727,6
TX0000014230804001,CUS0000014,SYSN10002082,SH4775348,1,100300,0,20000,20230804,1
TX0000014251210002,CUS0000014,SYSN10001232,SH9740844,1,243000,72900,30000,20251210,4
TX0000015250402000,CUS0000015,SYSN10004909,SH3693317,1,196500,9800,30000,20250402,6
TX0000015250512001,CUS0000015,SYSN10000419,SH3931009,1,117600,0,0,20250512,6
TX0000015250624002,CUS0000015,SYSN10004364,SH4600004,1,131400,13100,30000,20250624,4
TX0000015251130003,CUS0000015,SYSN10007619,SH8077339,1,152600,0,0,20251130,5
