ma_giao_dich,ma_khach_hang,ma_san_pham,ngay_giao_dich,gia_tri_sau_giam,co_bat_thuong,phan_vi_25,phan_vi_75,khoang_tu_phan_vi
TX0000001251212000,CUS0000001,SYSN10002288,2025-12-12,79600,0,180775.0,391000.0,210225.0
TX0000001251230002,CUS0000001,SYSN10005535,2025-12-30,264500,0,246050.0,294275.0,48225.0
TX0000002250608000,CUS0000002,SYSN10006038,2025-06-08,84800,1,28500.0,43625.0,15125.0
TX0000002250629001,CUS0000002,SYSN10003583,2025-06-29,93800,1,115350.0,127350.0,12000.0
TX0000003241207000,CUS0000003,SYSN10001774,2024-12-07,507800,0,511650.0,1385175.0,873525.0
TX0000003241212001,CUS0000003,SYSN10004891,2024-12-12,200100,0,309375.0,615300.0,305925.0
TX0000003250215003,CUS0000003,SYSN10003894,2025-02-15,172500,0,144250.0,208350.0,64100.0
TX0000003250909004,CUS0000003,SYSN10006753,2025-09-09,84700,0,93750.0,280150.0,186400.0
TX0000003250924005,CUS0000003,SYSN10005212,2025-09-24,139900,0,133200.0,144200.0,11000.0
TX0000004250911000,CUS0000004,SYSN10000441,2025-09-11,203000,0,211250.0,249050.0,37800.0
TX0000004251226002,CUS0000004,SYSN10000737,2025-12-26,229400,1,88800.0,108000.0,19200.0
TX0000005250520000,CUS0000005,SYSN10001112,2025-05-20,208000,0,194550.0,221200.0,26650.0
TX0000005250619001,CUS0000005,SYSN10006552,2025-06-19,137400,0,109350.0,169000.0,59650.0
TX0000005250630002,CUS0000005,SYSN10006331,2025-06-30,445300,1,148875.0,177425.0,28550.0
TX0000005250630003,CUS0000005,SYSN10006700,2025-06-30,313300,0,226800.0,313300.0,86500.0
TX0000005250731004,CUS0000005,SYSN10003841,2025-07-31,153200,0,163550.0,313225.0,149675.0
TX0000005250801005,CUS0000005,SYSN10006304,2025-08-01,195300,0,170400.0,243150.0,72750.0
TX0000005250814006,CUS0000005,SYSN10000282,2025-08-14,234000,1,130850.0,140550.0,9700.0
TX0000005250819007,CUS0000005,SYSN10000380,2025-08-19,148900,0,130850.0,300100.0,169250.0
TX0000005250926008,CUS0000005,SYSN10007790,2025-09-26,247100,0,228650.0,486600.0,257950.0
TX0000005251102009,CUS0000005,SYSN10002044,2025-11-02,97000,0,90700.0,101700.0,11000.0
TX0000005251111010,CUS0000005,SYSN10000261,2025-11-11,251000,0,241850.0,404100.0,162250.0
TX0000005251225011,CUS0000005,SYSN10003191,2025-12-25,85000,0,97925.0,123775.0,25850.0
TX0000006230729000,CUS0000006,SYSN10007597,2023-07-29,280300,0,158900.0,269100.0,110200.0
TX0000006231109001,CUS0000006,SYSN10005110,2023-11-09,118600,0,123900.0,204650.0,80750.0
TX0000006231212002,CUS0000006,SYSN10007559,2023-12-12,170800,0,169175.0,318025.0,148850.0
TX0000006240529003,CUS0000006,SYSN10007356,2024-05-29,261200,0,120150.0,236200.0,116050.0
TX0000006241219004,CUS0000006,SYSN10001711,2024-12-19,184000,0,171300.0,450150.0,278850.0
TX0000007250207000,CUS0000007,SYSN10000574,2025-02-07,495800,0,510550.0,1284500.0,773950.0
TX0000007250630002,CUS0000007,SYSN10005574,2025-06-30,620400,0,347200.0,697200.0,350000.0
TX0000007250804003,CUS0000007,SYSN10000909,2025-08-04,762900,0,536400.0,1334275.0,797875.0
TX0000007251227004,CUS0000007,SYSN10007501,2025-12-27,1029400,0,461225.0,1059300.0,598075.0
TX0000008251113000,CUS0000008,SYSN10005621,2025-11-13,94800,0,94825.0,113375.0,18550.0
TX0000008251211001,CUS0000008,SYSN10001417,2025-12-11,257700,0,212175.0,254825.0,42650.0
TX0000008251211002,CUS0000008,SYSN10005614,2025-12-11,69200,0,109925.0,275275.0,165350.0
TX0000009220607000,CUS0000009,SYSN10003822,2022-06-07,329600,0,303200.0,787750.0,484550.0
TX0000009231220001,CUS0000009,SYSN10001843,2023-12-20,152800,0,142850.0,189025.0,46175.0
TX0000009240201002,CUS0000009,SYSN10001882,2024-02-01,339000,0,169800.0,241000.0,71200.0
TX0000009240206003,CUS0000009,SYSN10000240,2024-02-06,94400,0,88350.0,220200.0,131850.0
TX0000009241109004,CUS0000009,SYSN10004705,2024-11-09,279700,0,252250.0,477775.0,225525.0
TX0000010220420000,CUS0000010,SYSN10004880,2022-04-20,197000,0,174600.0,204500.0,29900.0
TX0000011220728000,CUS0000011,SYSN10000097,2022-07-28,82900,0,84425.0,87475.0,3050.0
