thang_cohort,ky_cohort,khach_hoat_dong,quy_mo_cohort,ty_le_giu_chan
2022-01,0,932,932,1.0
2022-01,1,228,932,0.2446
2022-01,2,216,932,0.2318
2022-01,3,209,932,0.2242
2022-01,4,188,932,0.2017
2022-01,5,156,932,0.1674
2022-01,6,160,932,0.1717
2022-01,7,137,932,0.147
2022-01,8,118,932,0.1266
2022-01,9,99,932,0.1062
2022-01,10,88,932,0.0944
2022-01,11,88,932,0.0944
2022-01,12,80,932,0.0858
2022-01,13,69,932,0.074
2022-01,14,65,932,0.0697
2022-01,15,58,932,0.0622
2022-01,16,48,932,0.0515
2022-01,17,45,932,0.0483
2022-01,18,49,932,0.0526
2022-01,19,50,932,0.0536
2022-01,20,42,932,0.0451
2022-01,21,39,932,0.0418
2022-01,22,49,932,0.0526
2022-01,23,40,932,0.0429
2022-01,24,45,932,0.0483
2022-01,25,35,932,0.0376
2022-01,26,34,932,0.0365
2022-01,27,31,932,0.0333
2022-01,28,27,932,0.029
2022-01,29,25,932,0.0268
2022-01,30,32,932,0.0343
2022-01,31,29,932,0.0311
2022-01,32,21,932,0.0225
2022-01,33,24,932,0.0258
2022-01,34,27,932,0.029
2022-01,35,24,932,0.0258
2022-01,36,12,932,0.0129
2022-01,37,17,932,0.0182
2022-01,38,18,932,0.0193
2022-01,39,18,932,0.0193
2022-01,40,19,932,0.0204
2022-01,41,20,932,0.0215
2022-01,42,18,932,0.0193
2022-01,43,15,932,0.0161
2022-01,44,17,932,0.0182
2022-01,45,15,932,0.0161
2022-01,46,14,932,0.015
2022-01,47,18,932,0.0193
2022-02,0,806,806,1.0
2022-02,1,193,806,0.2395
2022-02,2,193,806,0.2395
2022-02,3,177,806,0.2196
2022-02,4,167,806,0.2072
2022-02,5,134,806,0.1663
2022-02,6,121,806,0.1501
2022-02,7,114,806,0.1414
2022-02,8,86,806,0.1067
2022-02,9,84,806,0.1042
2022-02,10,85,806,0.1055
2022-02,11,86,806,0.1067
2022-02,12,67,806,0.0831
2022-02,13,65,806,0.0806
2022-02,14,56,806,0.0695
2022-02,15,50,806,0.062
2022-02,16,57,806,0.0707
2022-02,17,50,806,0.062
2022-02,18,52,806,0.0645
2022-02,19,48,806,0.0596
2022-02,20,43,806,0.0533
2022-02,21,40,806,0.0496
2022-02,22,36,806,0.0447
2022-02,23,38,806,0.0471
2022-02,24,38,806,0.0471
2022-02,25,37,806,0.0459
2022-02,26,38,806,0.0471
2022-02,27,38,806,0.0471
2022-02,28,32,806,0.0397
2022-02,29,36,806,0.0447
2022-02,30,27,806,0.0335
2022-02,31,26,806,0.0323
2022-02,32,27,806,0.0335
2022-02,33,27,806,0.0335
2022-02,34,27,806,0.0335
2022-02,35,15,806,0.0186
2022-02,36,17,806,0.0211
2022-02,37,17,806,0.0211
2022-02,38,20,806,0.0248
2022-02,39,23,806,0.0285
2022-02,40,19,806,0.0236
2022-02,41,19,806,0.0236
2022-02,42,15,806,0.0186
2022-02,43,15,806,0.0186
2022-02,44,15,806,0.0186
2022-02,45,19,806,0.0236
2022-02,46,25,806,0.031
2022-03,0,1025,1025,1.0
2022-03,1,271,1025,0.2644
2022-03,2,258,1025,0.2517
2022-03,3,226,1025,0.2205
2022-03,4,226,1025,0.2205
2022-03,5,172,1025,0.1678
2022-03,6,176,1025,0.1717
2022-03,7,153,1025,0.1493
2022-03,8,129,1025,0.1259
2022-03,9,106,1025,0.1034
2022-03,10,106,1025,0.1034
2022-03,11,89,1025,0.0868
2022-03,12,96,1025,0.0937
2022-03,13,85,1025,0.0829
2022-03,14,80,1025,0.078
2022-03,15,82,1025,0.08
2022-03,16,71,1025,0.0693
2022-03,17,72,1025,0.0702
2022-03,18,69,1025,0.0673
2022-03,19,60,1025,0.0585
2022-03,20,56,1025,0.0546
2022-03,21,50,1025,0.0488
2022-03,22,55,1025,0.0537
2022-03,23,43,1025,0.042
2022-03,24,39,1025,0.038
2022-03,25,41,1025,0.04
2022-03,26,53,1025,0.0517
2022-03,27,48,1025,0.0468
2022-03,28,43,1025,0.042
2022-03,29,36,1025,0.0351
2022-03,30,41,1025,0.04
2022-03,31,43,1025,0.042
2022-03,32,33,1025,0.0322
2022-03,33,28,1025,0.0273
2022-03,34,22,1025,0.0215
2022-03,35,29,1025,0.0283
2022-03,36,29,1025,0.0283
2022-03,37,22,1025,0.0215
2022-03,38,34,1025,0.0332
2022-03,39,29,1025,0.0283
2022-03,40,24,1025,0.0234
2022-03,41,19,1025,0.0185
2022-03,42,19,1025,0.0185
2022-03,43,22,1025,0.0215
2022-03,44,22,1025,0.0215
2022-03,45,21,1025,0.0205
2022-04,0,1092,1092,1.0
2022-04,1,298,1092,0.2729
2022-04,2,262,1092,0.2399
2022-04,3,258,1092,0.2363
2022-04,4,209,1092,0.1914
2022-04,5,202,1092,0.185
2022-04,6,184,1092,0.1685
2022-04,7,147,1092,0.1346
2022-04,8,165,1092,0.1511
2022-04,9,137,1092,0.1255
2022-04,10,108,1092,0.0989
2022-04,11,105,1092,0.0962
2022-04,12,95,1092,0.087
2022-04,13,101,1092,0.0925
2022-04,14,79,1092,0.0723
2022-04,15,82,1092,0.0751
2022-04,16,82,1092,0.0751
2022-04,17,71,1092,0.065
2022-04,18,57,1092,0.0522
2022-04,19,69,1092,0.0632
2022-04,20,72,1092,0.0659
2022-04,21,49,1092,0.0449
2022-04,22,45,1092,0.0412
2022-04,23,51,1092,0.0467
2022-04,24,54,1092,0.0495
2022-04,25,41,1092,0.0375
2022-04,26,39,1092,0.0357
2022-04,27,42,1092,0.0385
2022-04,28,31,1092,0.0284
2022-04,29,37,1092,0.0339
2022-04,30,33,1092,0.0302
2022-04,31,39,1092,0.0357
2022-04,32,34,1092,0.0311
2022-04,33,34,1092,0.0311
2022-04,34,25,1092,0.0229
2022-04,35,28,1092,0.0256
2022-04,36,28,1092,0.0256
2022-04,37,26,1092,0.0238
2022-04,38,23,1092,0.0211
2022-04,39,20,1092,0.0183
2022-04,40,22,1092,0.0201
2022-04,41,24,1092,0.022
2022-04,42,23,1092,0.0211
2022-04,43,19,1092,0.0174
2022-04,44,23,1092,0.0211
2022-05,0,1154,1154,1.0
2022-05,1,288,1154,0.2496
2022-05,2,265,1154,0.2296
2022-05,3,238,1154,0.2062
2022-05,4,236,1154,0.2045
2022-05,5,211,1154,0.1828
2022-05,6,200,1154,0.1733
2022-05,7,176,1154,0.1525
2022-05,8,173,1154,0.1499
2022-05,9,120,1154,0.104
2022-05,10,117,1154,0.1014
2022-05,11,112,1154,0.0971
2022-05,12,114,1154,0.0988
2022-05,13,95,1154,0.0823
2022-05,14,97,1154,0.0841
2022-05,15,80,1154,0.0693
2022-05,16,81,1154,0.0702
2022-05,17,82,1154,0.0711
2022-05,18,68,1154,0.0589
2022-05,19,63,1154,0.0546
2022-05,20,77,1154,0.0667
2022-05,21,54,1154,0.0468
2022-05,22,66,1154,0.0572
2022-05,23,64,1154,0.0555
2022-05,24,49,1154,0.0425
2022-05,25,50,1154,0.0433
2022-05,26,46,1154,0.0399
2022-05,27,52,1154,0.0451
2022-05,28,42,1154,0.0364
2022-05,29,42,1154,0.0364
2022-05,30,34,1154,0.0295
2022-05,31,28,1154,0.0243
2022-05,32,29,1154,0.0251
2022-05,33,29,1154,0.0251
2022-05,34,27,1154,0.0234
2022-05,35,35,1154,0.0303
2022-05,36,34,1154,0.0295
2022-05,37,34,1154,0.0295
2022-05,38,26,1154,0.0225
2022-05,39,25,1154,0.0217
2022-05,40,27,1154,0.0234
2022-05,41,26,1154,0.0225
2022-05,42,21,1154,0.0182
2022-05,43,24,1154,0.0208
2022-06,0,1200,1200,1.0
2022-06,1,350,1200,0.2917
2022-06,2,278,1200,0.2317
2022-06,3,300,1200,0.25
2022-06,4,249,1200,0.2075
2022-06,5,218,1200,0.1817
2022-06,6,207,1200,0.1725
2022-06,7,153,1200,0.1275
2022-06,8,157,1200,0.1308
2022-06,9,147,1200,0.1225
2022-06,10,135,1200,0.1125
2022-06,11,104,1200,0.0867
2022-06,12,105,1200,0.0875
2022-06,13,105,1200,0.0875
2022-06,14,103,1200,0.0858
2022-06,15,76,1200,0.0633
2022-06,16,80,1200,0.0667
2022-06,17,79,1200,0.0658
2022-06,18,70,1200,0.0583
2022-06,19,66,1200,0.055
2022-06,20,82,1200,0.0683
2022-06,21,65,1200,0.0542
2022-06,22,61,1200,0.0508
2022-06,23,55,1200,0.0458
2022-06,24,58,1200,0.0483
2022-06,25,52,1200,0.0433
2022-06,26,48,1200,0.04
2022-06,27,49,1200,0.0408
2022-06,28,41,1200,0.0342
2022-06,29,41,1200,0.0342
2022-06,30,42,1200,0.035
2022-06,31,49,1200,0.0408
2022-06,32,37,1200,0.0308
2022-06,33,38,1200,0.0317
2022-06,34,41,1200,0.0342
2022-06,35,29,1200,0.0242
2022-06,36,26,1200,0.0217
