ma_khach_hang,ngay_mua_gan_nhat,tan_suat_mua,tong_chi_tieu,gia_tri_don_hang_tb,ngay_mua_dau_tien,tong_so_luong_mua,so_danh_muc_da_mua,danh_muc_yeu_thich,so_ngay_tu_lan_mua_cuoi,tuoi_tho_khach_hang,diem_R,diem_F,diem_M,diem_RFM_ma_hoa,diem_RFM_tong,phan_khuc_rfm,ngay_snapshot
CUS0000001,2025-08-23,2,407000,203500,2025-07-13,2,2,Toner,129,41,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000002,2023-08-29,2,367000,183500,2023-07-12,2,2,Serum,854,48,2,1,2,212,5,Hibernating,2025-12-31
CUS0000003,2025-05-11,5,1478000,295600,2024-03-20,9,4,Sunscreen,233,417,4,4,4,444,12,Champions,2025-12-31
CUS0000004,2025-09-01,2,473000,236500,2025-03-14,3,2,Moisturizer,120,171,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000005,2025-12-04,12,3038000,253167,2022-06-26,19,5,Serum,26,1257,5,5,5,555,15,Champions,2025-12-31
CUS0000006,2024-08-12,5,2147000,429400,2023-06-27,7,4,Serum,505,412,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0000007,2024-02-12,4,3852000,963000,2023-10-03,6,4,Sunscreen,687,132,3,3,5,335,11,Loyal Customers,2025-12-31
CUS0000008,2025-11-17,3,633000,211000,2025-07-23,3,2,Toner,43,117,5,3,2,532,10,Potential Loyalists,2025-12-31
CUS0000009,2023-02-13,5,1113000,222600,2022-10-11,8,3,Cleanser,1051,125,1,4,3,143,8,At Risk,2025-12-31
CUS0000010,2023-07-18,1,368000,368000,2023-07-18,1,1,Toner,897,0,2,1,2,212,5,Hibernating,2025-12-31
CUS0000011,2023-08-08,2,323000,161500,2023-06-19,2,1,Moisturizer,875,50,2,1,1,211,4,Hibernating,2025-12-31
CUS0000012,2024-11-12,1,140000,140000,2024-11-12,2,1,Sunscreen,414,0,4,1,1,411,6,Recent Customers,2025-12-31
CUS0000013,2025-09-02,9,2805000,311667,2024-05-09,11,3,Serum,119,481,4,5,5,455,14,Champions,2025-12-31
CUS0000014,2023-03-29,3,4378000,1459333,2022-11-13,5,2,Serum,1007,136,2,3,5,235,10,At Risk,2025-12-31
CUS0000015,2025-10-07,6,1439000,239833,2025-01-22,12,4,Sunscreen,84,258,5,4,4,544,13,Champions,2025-12-31
CUS0000016,2024-08-29,3,753000,251000,2024-04-12,3,2,Serum,488,139,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0000017,2025-12-22,12,2808000,234000,2025-05-16,17,5,Cleanser,8,220,5,5,5,555,15,Champions,2025-12-31
CUS0000018,2025-06-10,2,996000,498000,2025-02-06,4,2,Moisturizer,203,124,4,1,3,413,8,Recent Customers,2025-12-31
CUS0000019,2023-10-21,7,2248000,321143,2022-08-23,12,4,Sunscreen,801,424,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0000020,2024-03-04,9,1705000,189444,2022-04-25,15,4,Serum,666,679,3,5,4,354,12,Loyal Customers,2025-12-31
CUS0000021,2024-12-12,2,380000,190000,2024-12-07,3,2,Moisturizer,383,5,4,1,2,412,7,Recent Customers,2025-12-31
CUS0000022,2024-09-20,3,965000,321667,2024-07-09,6,3,Cleanser,466,73,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0000023,2025-12-10,60,23392000,389867,2024-03-09,89,5,Serum,20,641,5,5,5,555,15,Champions,2025-12-31
CUS0000024,2025-03-09,5,1527000,305400,2024-03-02,7,3,Sunscreen,296,372,4,4,4,444,12,Champions,2025-12-31
CUS0000025,2025-06-11,5,1301000,260200,2025-02-06,7,3,Serum,202,125,4,4,4,444,12,Champions,2025-12-31
CUS0000026,2022-07-16,3,492000,164000,2022-02-15,5,3,Moisturizer,1263,151,1,3,2,132,6,At Risk,2025-12-31
CUS0000027,2025-12-09,10,3268000,326800,2024-07-23,16,4,Sunscreen,21,504,5,5,5,555,15,Champions,2025-12-31
CUS0000028,2024-01-29,2,625000,312500,2024-01-20,4,2,Serum,701,9,3,1,2,312,6,Need Attention,2025-12-31
CUS0000029,2024-05-22,4,1909000,477250,2023-10-24,7,3,Cleanser,587,211,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0000030,2023-10-14,2,2071000,1035500,2023-10-03,5,1,Serum,808,11,2,1,4,214,7,Hibernating,2025-12-31
CUS0000031,2025-11-18,10,6911000,691100,2024-10-09,16,3,Serum,42,405,5,5,5,555,15,Champions,2025-12-31
CUS0000032,2025-08-06,3,679000,226333,2025-03-12,6,2,Moisturizer,146,147,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0000033,2025-12-01,3,802000,267333,2025-04-26,3,3,Sunscreen,29,219,5,3,3,533,11,Loyal Customers,2025-12-31
